subID	phase	f0	vtl	face	word	hands	button	RT 
j_06	test	0	0.0	woman_2	Pen	handbang_	1	2.674	
j_06	test	-6	0.0	man_7	Vaak	handremote_	1	2.750	
j_06	test	-12	0.0	woman_4	Hoed	handremote_	2	3.679	
jj	test	0	1.8	woman_4	Bus	handbang_	1	1.395	
jjj	test	-6	0.0	man_5	bike	handremote_	2	1.672	
jjj	test	0	3.6	woman_7	watch	handremote_	1	1.221	
jjj	test	-12	1.8	woman_4	watch	handremote_	1	1.205	
jjj	test	-6	1.8	man_7	pool	handbang_	1	1.127	
jjj	test	0	3.6	woman_4	bike	handremote_	1	1.018	
tryout	test	-6	3.6	woman_6	Leeg	handbang_	0	0.000	
tryout	test	0	0.0	man_4	Loop	handremote_	1	0.000	
tryout	test	-6	1.8	man_1	Vaak	handbang_	1	0.000	
tryout	test	-6	0.0	woman_2	Bus	handremote_	1	0.000	
tryout	test	-12	1.8	woman_1	Hoed	handremote_	0	0.000	
tryout	test	-12	1.8	man_5	Bus	handremote_	1	0.000	
tryout	test	0	3.6	man_6	Vaak	handremote_	0	0.000	
