subID	phase	f0	vtl	face	word	hands	button	RT 
Mila	test	-6	3.6	woman_6	Leeg	handbang_	2	5.521	
Mila	test	0	1.8	woman_3	Hoed	handbang_	2	8.866	
Mila	test	0	1.8	woman_4	Pen	handremote_	2	2.890	
Mila	test	-6	3.6	woman_3	Loop	handremote_	2	7.534	
Mila	test	-6	1.8	woman_2	Pen	handbang_	2	2.501	
Mila	test	-6	3.6	woman_7	Bus	handbang_	2	2.898	
Mila	test	-12	0.0	man_2	Pen	handremote_	2	3.163	
Mila	test	-12	3.6	man_1	Hoed	handremote_	1	4.618	
Mila	test	0	1.8	woman_7	Loop	handbang_	1	2.448	
Mila	test	0	1.8	woman_5	Vaak	handbang_	1	2.427	
Mila	test	0	0.0	man_1	Pen	handremote_	2	4.308	
Mila	test	-6	0.0	man_4	Loop	handbang_	1	5.035	
Mila	test	0	3.6	woman_1	Leeg	handremote_	1	2.792	
j	test	0	3.6	woman_7	Hoed	handremote_	2	4.649	
j	test	-6	1.8	woman_3	Pen	handbang_	1	5.551	
j	test	-12	0.0	woman_7	Vaak	handbang_	2	2.440	
j	test	0	3.6	man_5	Vaak	handremote_	1	2.901	
j	test	0	3.6	man_2	Leeg	handremote_	1	4.755	
j	test	-6	1.8	woman_5	Leeg	handbang_	1	2.284	
j	test	-6	0.0	man_1	Leeg	handbang_	1	3.435	
j	test	-12	0.0	woman_4	Leeg	handbang_	2	8.627	
j	test	-12	0.0	man_1	Pen	handremote_	1	3.658	
j	test	-6	0.0	woman_2	Pen	handbang_	1	1.596	
j	test	-12	3.6	woman_6	Pen	handremote_	2	2.689	
j	test	-6	1.8	man_1	Bus	handbang_	1	2.189	
j	test	-6	1.8	woman_1	Loop	handremote_	2	2.938	
j	test	0	1.8	man_4	Pen	handremote_	2	2.502	
j	test	-6	0.0	man_2	Bus	handremote_	1	3.580	
j	test	-12	1.8	woman_1	Vaak	handbang_	2	1.850	
j	test	0	0.0	man_5	Loop	handbang_	2	2.212	
j	test	-12	3.6	woman_5	Hoed	handremote_	2	1.814	
j	test	0	1.8	woman_6	Hoed	handbang_	1	2.117	
j	test	-6	3.6	man_2	Leeg	handbang_	1	2.942	
j	test	-12	1.8	man_3	Hoed	handremote_	1	2.314	
j	test	-12	1.8	man_3	Leeg	handbang_	1	3.831	
j	test	0	1.8	woman_3	Leeg	handbang_	1	2.377	
j	test	0	1.8	woman_7	Bus	handbang_	1	2.736	
j	test	0	3.6	man_6	Bus	handbang_	2	3.885	
j	test	0	3.6	woman_7	Pen	handbang_	1	5.471	
j	test	-6	3.6	man_7	Hoed	handbang_	1	1.814	
j	test	-6	1.8	woman_4	Vaak	handremote_	2	3.346	
j	test	0	0.0	man_1	Leeg	handremote_	2	4.221	
j	test	-12	1.8	man_4	Bus	handbang_	1	3.705	
j	test	-6	0.0	man_4	Hoed	handremote_	1	3.221	
j	test	-12	3.6	woman_6	Vaak	handremote_	2	2.974	
j	test	-12	0.0	woman_5	Bus	handbang_	2	2.834	
j	test	-6	3.6	man_3	Loop	handbang_	1	3.177	
